86[3429, 11514, 11517, 12956, 18921, 20366, 20374, 24430]
87[3788, 12952, 12955, 12956, 20365, 20366, 20374, 24430]
88[39, 4167, 4813, 7148, 14987, 18061, 18925, 24431]
89[740, 4167, 7579, 10654, 14987, 18061, 20365, 24431]
90[1063, 4813, 7581, 11518, 14987, 18925, 20367, 24431]
91[2231, 7148, 10657, 11521, 18061, 18925, 20375, 24431]
92[2445, 7579, 7581, 12952, 14987, 20365, 20367, 24431]
93[3214, 10654, 10657, 12955, 18061, 20365, 20375, 24431]
94[3430, 11518, 11521, 12957, 18925, 20367, 20375, 24431]
95[3788, 12952, 12955, 12957, 20365, 20367, 20375, 24431]
96[362, 5600, 6282, 7075, 16484, 17986, 18922, 24432]
97[1457, 5600, 9078, 10579, 16484, 17986, 20368, 24432]
98[1798, 6282, 9080, 11515, 16484, 18922, 20370, 24432]
99[2194, 7075, 10580, 11516, 17986, 18922, 20372, 24432]
100[2820, 9078, 9080, 12953, 16484, 20368, 20370, 24432]
101[3195, 10579, 10580, 12954, 17986, 20368, 20372, 24432]
102[3429, 11515, 11516, 12956, 18922, 20370, 20372, 24432]
103[3788, 12953, 12954, 12956, 20368, 20370, 20372, 24432]
104[363, 5601, 6284, 7077, 16485, 17987, 18926, 24433]
105[1457, 5601, 9078, 10579, 16485, 17987, 20368, 24433]
106[1799, 6284, 9081, 11519, 16485, 18926, 20371, 24433]
107[2195, 7077, 10581, 11520, 17987, 18926, 20373, 24433]
108[2820, 9078, 9081, 12953, 16485, 20368, 20371, 24433]
109[3195, 10579, 10581, 12954, 17987, 20368, 20373, 24433]
110[3430, 11519, 11520, 12957, 18926, 20371, 20373, 24433]
111[3788, 12953, 12954, 12957, 20368, 20371, 20373, 24433]
112[398, 5638, 6283, 7147, 16486, 18062, 18923, 24434]
113[1476, 5638, 9079, 10655, 16486, 18062, 20369, 24434]
114[1798, 6283, 9080, 11515, 16486, 18923, 20370, 24434]
115[2230, 7147, 10656, 11517, 18062, 18923, 20374, 24434]
116[2820, 9079, 9080, 12953, 16486, 20369, 20370, 24434]
117[3214, 10655, 10656, 12955, 18062, 20369, 20374, 24434]
118[3429, 11515, 11517, 12956, 18923, 20370, 20374, 24434]
119[3788, 12953, 12955, 12956, 20369, 20370, 20374, 24434]
120[399, 5639, 6285, 7149, 16487, 18063, 18927, 24435]
121[1476, 5639, 9079, 10655, 16487, 18063, 20369, 24435]
122[1799, 6285, 9081, 11519, 16487, 18927, 20371, 24435]
123[2231, 7149, 10657, 11521, 18063, 18927, 20375, 24435]
124[2820, 9079, 9081, 12953, 16487, 20369, 20371, 24435]
125[3214, 10655, 10657, 12955, 18063, 20369, 20375, 24435]
